id;nom;decision;ecrite_le_26_09;qid;wikidata_libelle;naissance;mort;pays;langue;signaux;candidats_et_motifs
10211;André Reszler;acceptée;oui;Q2848522;André Reszler;1933;2022;HU;;biblio+metier;Q2848522 {biblio+metier}
10212;Isidro Guardia Abella;acceptée;oui;Q56000530;Isidro Guardia Abella;1921;2012;;;biblio;Q56000530 {biblio}
10213;Carlos Abreu;ambiguë;;;;;;;;;Q86092565 | Q96098029 {biblio+chercheur} | Q115407145 {biblio+metier}
10214;Julio C. Acerete;introuvable;;;;;;;;;
10215;Carlos Augusto Addor;introuvable;;;;;;;;;
10216;S. Agourski;introuvable;;;;;;;;;
10217;Moysés Aguiar;introuvable;;;;;;;;;
10218;Roberto A. R. De Aguiar;introuvable;;;;;;;;;
10219;Ronaldo Conde Aguiar;introuvable;;;;;;;;;
10220;Anoar Aiex;introuvable;;;;;;;;;
10221;Felipe Aláiz;acceptée;oui;Q3572766;Felipe Alaiz;1887;1959;ES;es;biblio+metier;Q3572766 {biblio+metier}
10222;Anna Gicelle Garcia Alaniz;à relire (un seul signal);;Q139089640;Anna Gicelle García Alaniz;1964;;;;biblio;Q139089640 {biblio}
10223;Martín Albornoz;acceptée;oui;Q137114658;Martín Albornoz;1978;;;;biblio+metier;Q42394368 | Q137114658 {biblio+metier}
10224;John Alcorn;ambiguë;;;;;;;;;Q3809034 {biblio+metier} | Q6218479 {biblio} | Q15408507 | Q116259460 {biblio+metier} | Q88511431 {chercheur}
10225;José de Alencar;acceptée;oui;Q455703;José Martiniano de Alencar;1829;1877;BR;pt;biblio+metier;Q455703 {biblio+metier}
10226;Juan Maestre Alfonso;acceptée;oui;Q93608017;Juan Maestre Alfonso;1938;;;es;biblio+metier;Q93608017 {biblio+metier}
10227;Oscar Algarve;introuvable;;;;;;;;;
10228;Demerval Saviani et Alli;introuvable;;;;;;;;;
10229;Herminio Almendros;acceptée;oui;Q4116474;Herminio Almendros;1898;1974;ES;es;biblio+metier;Q4116474 {biblio+metier}
10230;Ramón Alvarez;ambiguë;;;;;;;;;Q3418549 {biblio} | Q3929981 | Q2842574 {biblio} | Q7290581
10231;Paulo Alves;ambiguë;;;;;;;;;Q934127 | Q10346428 | Q61879340 | Q56459142 {chercheur} | Q18062599 [né 1993, publié dès 2002] | Q63671458 {biblio+metier}
10232;Valter Roberto Alves;introuvable;;;;;;;;;
10233;Luis Amado;ambiguë;;;;;;;;;Q1382641 {biblio} | Q2287985 | Q2245166 {biblio+metier} | Q117833346
10235;Miguel Amorós;acceptée;oui;Q977783;Miguel Amorós;1949;;ES;es;biblio+metier;Q977783 {biblio+metier}
10236;Rivista Anarchica;introuvable;;;;;;;;;
10238;Taller Anarquista;introuvable;;;;;;;;;
10239;Martins de Andrade;introuvable;;;;;;;;;
10240;Pedro de Andrade;introuvable;;;;;;;;;
10241;Silvia Maria Belfort Vilela de Andrade;introuvable;;;;;;;;;
10242;Augusto Chacho Andrés;à relire (un seul signal);;Q60498007;"Augusto ""Chacho"" Andrés";1936;;UY;es;biblio;Q60498007 {biblio}
10243;Satana Angelo;introuvable;;;;;;;;;
10245;Allan Antiff;introuvable;;;;;;;;;
10246;João Antônio;acceptée;oui;Q10311068;João Antônio;1937;1996;BR;pt;biblio+metier;Q64846297 [naissance 1952 ≠ 1937] | Q64833490 [naissance 1987 ≠ 1937, né 1987, publié dès 1977] | Q10311068 {biblio+metier}
10247;Caderno de Apontamentos;introuvable;;;;;;;;;
10248;Cassio M. L. de Aquino;introuvable;;;;;;;;;
